Your rebirth can glitch Darkstars on the Muscle King Rock! +5 Stats per punch, [Darkstar Level 3] [Level 1, Xp 0]
Your rebirth can glitch Darkstars on the Muscle King Rock! +5 Stats per punch, [Darkstar Level 4] [Level 1, Xp 0]
Your rebirth can glitch Darkstars on the Muscle King Rock! +5 Stats per punch, [Darkstar Level 7] [Level 1, Xp 0]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 3] [Level 1, Xp 0]
Your rebirth can glitch Darkstars on the Muscle King Rock! +5 Stats per punch, [Darkstar Level 8] [Level 1, Xp 0]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 5]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 15]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 20]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 20]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 35]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 35]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 50]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 50]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 50]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 50]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 60]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 65]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 80]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 80]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 80]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 95]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 3] [Level 1, Xp 100]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 105]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 110]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 110]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 125]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 125]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 140]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 140]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 150]
Your rebirth can glitch Darkstars on the Legends Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 150]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 2] [Level 1, Xp 150]
Your rebirth can glitch Darkstars on the Frost Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 155]
Your rebirth can glitch Darkstars on the Eternal Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 170]
Your rebirth can glitch Darkstars on the Mythical Gym Rock! +5 Stats per punch, [Darkstar Level 1] [Level 1, Xp 170]
